elapsed_s,logical_step,gap_ms,owned_one,owned_two,packets,active_orders,phase
268.174,289,222.8,4029,1520,4918,3,policy
268.247,290,71.4,4029,1520,3542,3,policy
268.435,291,185.9,4029,1520,2972,3,policy
268.723,292,287.2,4029,1520,2617,3,policy
268.889,293,164.9,4029,1520,2334,3,policy
269.144,294,254.4,4029,1520,2171,3,policy
269.391,295,246.0,4029,1520,2034,3,policy
269.708,296,316.1,4029,1520,1960,3,policy
269.843,297,132.4,4029,1520,1914,3,policy
270.146,298,301.9,4029,1520,1908,3,policy
270.395,299,248.5,4029,1520,1906,3,policy
270.704,300,307.7,4029,1520,1901,3,policy
270.842,301,137.7,4029,1520,1898,3,policy
271.152,302,305.9,4029,1520,1909,3,policy
271.400,303,246.7,4029,1520,1915,3,policy
284.271,304,12869.5,4029,1520,8326,3,policy
284.505,305,232.3,4029,1520,4940,3,policy
284.584,306,78.6,4029,1520,3700,3,policy
284.789,307,203.4,4029,1520,2953,3,policy
285.066,308,276.1,4029,1520,2536,3,policy
285.209,309,142.1,4029,1520,2261,3,policy
285.444,310,234.2,4029,1520,1987,3,policy
285.736,311,291.6,4029,1520,1875,3,policy
286.031,312,293.7,4029,1520,1804,3,policy
286.177,313,145.8,4029,1520,1785,3,policy
286.477,314,293.8,4029,1520,1785,3,policy
286.721,315,243.4,4029,1520,1783,3,policy
287.060,316,338.0,4029,1520,1772,3,policy
287.170,317,109.7,4029,1520,1765,3,policy
287.482,318,310.4,4029,1520,1768,3,policy
287.736,319,253.5,4029,1520,1763,3,policy
301.116,320,13378.3,4029,1520,8490,3,policy
301.342,321,224.2,4029,1520,5006,3,policy
301.448,322,105.4,4029,1520,3678,3,policy
301.623,323,173.9,4029,1520,2992,3,policy
301.945,324,320.3,4029,1520,2459,3,policy
302.053,325,107.0,4029,1520,2134,3,policy
302.318,326,262.6,4029,1520,1933,3,policy
302.563,327,243.7,4029,1520,1803,3,policy
302.895,328,331.9,4029,1520,1739,3,policy
303.022,329,125.8,4029,1520,1700,3,policy
303.314,330,291.7,4029,1520,1680,3,policy
303.570,331,251.3,4029,1520,1676,3,policy
303.883,332,311.7,4029,1520,1673,3,policy
304.021,333,137.9,4029,1520,1664,3,policy
304.305,334,283.1,4029,1520,1665,3,policy
304.562,335,247.0,4029,1520,1667,3,policy
317.885,336,13314.2,4029,1520,8220,3,policy
318.115,337,223.9,4029,1520,4624,3,policy
318.201,338,84.8,4029,1520,3493,3,policy
318.397,339,194.3,4029,1520,2871,3,policy
318.714,340,316.4,4029,1520,2467,3,policy
318.832,341,117.1,4029,1520,2133,3,policy
319.096,342,256.9,4029,1520,1945,3,policy
319.355,343,256.6,4029,1520,1812,3,policy
319.685,344,328.8,4029,1520,1744,3,policy
319.795,345,109.5,4029,1520,1676,3,policy
320.081,346,284.5,4029,1520,1670,3,policy
320.310,347,228.2,4029,1520,1659,3,policy
320.666,348,355.5,4029,1520,1658,3,policy
320.793,349,126.7,4029,1520,1655,3,policy
321.082,350,288.4,4029,1520,1653,3,policy
321.336,351,252.8,4029,1520,1658,3,policy
334.287,353,12948.9,4029,1520,4722,3,attack
334.361,354,73.7,4029,1520,3438,3,attack
334.537,355,174.9,4029,1520,2688,3,attack
334.856,356,316.8,4029,1520,2231,3,attack
334.968,357,111.3,4029,1520,1945,3,attack
335.264,358,293.9,4029,1520,1794,3,attack
335.497,359,228.9,4029,1520,1648,3,attack
335.815,360,317.2,4029,1520,1580,3,attack
335.941,361,124.7,4029,1520,1501,3,attack
336.205,362,264.2,4029,1520,1491,3,attack
336.456,363,247.2,4029,1520,1473,3,attack
336.802,364,343.5,4029,1520,1465,3,attack
336.929,365,124.6,4029,1520,1472,3,attack
337.221,366,291.7,4029,1520,1473,3,attack
337.474,367,251.9,4029,1520,1469,3,attack
350.213,368,12737.2,4029,1520,8131,3,attack
350.442,369,228.3,4029,1520,4683,3,attack
350.532,370,86.4,4029,1520,3428,3,attack
350.721,371,188.0,4029,1520,2625,3,attack
351.005,372,283.1,4029,1520,2185,3,attack
351.153,373,146.7,4029,1520,1825,3,attack
351.424,374,271.0,4029,1520,1698,3,attack
351.676,375,250.9,4029,1520,1590,3,attack
351.998,376,321.0,4029,1520,1521,3,attack
352.110,377,110.0,4029,1520,1494,3,attack
352.410,378,296.4,4029,1520,1413,3,attack
352.630,379,219.3,4029,1520,1405,3,attack
352.993,380,346.9,4029,1520,1402,3,attack
353.107,381,112.4,4029,1520,1393,3,attack
353.405,382,297.4,4029,1520,1394,3,attack
353.654,383,246.7,4029,1520,1393,3,attack
367.467,384,13810.5,4029,1520,8498,3,attack
367.688,385,219.4,4029,1520,4969,3,attack
367.796,386,107.3,4029,1520,3536,3,attack
367.974,387,176.4,4029,1520,2732,3,attack
368.263,388,288.4,4029,1520,2260,3,attack
368.398,389,134.0,4029,1520,1943,3,attack
368.643,390,244.4,4029,1520,1758,3,attack
368.920,391,275.7,4029,1520,1630,3,attack
369.243,392,322.6,4029,1520,1553,3,attack
369.358,393,114.3,4029,1520,1482,3,attack
369.630,394,270.8,4029,1520,1424,3,attack
369.904,395,273.3,4029,1520,1399,3,attack
370.229,396,323.9,4029,1520,1384,3,attack
370.355,397,125.1,4029,1520,1379,3,attack
370.643,398,287.1,4029,1520,1383,3,attack
370.908,399,264.1,4029,1520,1377,3,attack
383.770,400,12860.6,4029,1520,8290,3,attack
384.036,401,264.5,4029,1520,4657,3,attack
384.107,402,69.4,4029,1520,3419,3,attack
384.267,403,140.6,4029,1520,2807,3,attack
384.568,404,299.9,4029,1520,2315,3,attack
384.707,405,137.4,4029,1520,1979,3,attack
384.952,406,244.3,4029,1520,1717,3,attack
385.199,407,246.6,4029,1520,1595,3,attack
385.533,408,333.1,4029,1520,1512,3,attack
385.650,409,113.4,4029,1520,1440,3,attack
385.916,410,265.2,4029,1520,1419,3,attack
386.196,411,279.0,4029,1520,1374,3,attack
386.518,412,321.1,4029,1520,1363,3,attack
386.650,413,131.9,4029,1520,1363,3,attack
386.946,414,292.4,4029,1520,1344,3,attack
387.163,415,216.1,4029,1520,1331,3,attack
399.287,416,12119.6,4029,1520,7424,3,attack
399.523,417,235.3,4029,1520,3993,3,attack
399.586,418,61.4,4029,1520,3040,3,attack
399.772,419,183.8,4029,1520,2369,3,attack
400.073,420,300.1,4029,1520,2008,3,attack
400.207,421,133.3,4029,1520,1700,3,attack
